id,name,created_at,advertisers_entities.id,entities.short_name,entities.is_active,entities.is_political,countries.name,countries.alpha2,advertisers_platforms.advertiser_platform_ref,advertisers_platforms.advertiser_platform_name,platforms.name
e72d285f-3799-49e7-9648-cb8743d98d8f,ServiceNow,2022-09-07T15:41:54.069Z,872a20a7-4923-4e5d-91ac-e323c88c0c20,Non,true,false,United States of America,us,70876467572,ServiceNow,Facebook
e7310ddc-a64c-4391-a5f4-0791fd77fa65,Saprea,2022-09-06T19:55:23.001Z,67b429a1-ad9f-4fdc-af9c-6161854c24e6,Non,true,false,United States of America,us,1731084720451495,Saprea,Facebook
e747af73-6d82-4d53-b415-28a13ec859f2,Rainforest Foundation US,2022-09-06T20:05:15.834Z,a85fd237-2b1c-47f1-bc40-f305eca55097,Non,true,false,United States of America,us,36085812354,Rainforest Foundation US,Facebook
e750310c-eb33-4bec-acf1-f1fc317665d5,"Olmsted County, MN",2022-11-26T22:14:11.655Z,3e2d7e03-5052-4a99-b3db-1dc1bebfa154,Non,true,false,United States of America,us,100291535579870,"Olmsted County, MN",Facebook
e76e71ef-e2c8-44d0-a268-4222206c4d18,Thought For Food,2022-11-26T22:14:09.912Z,e4c820f5-8c55-47db-9764-592631c75367,Non,true,false,United States of America,us,202228306454759,Thought For Food,Facebook
e775781f-1ab1-4505-b6de-373eb6477c0f,New York Power Authority,2022-09-07T15:41:57.411Z,9b1dbc6b-be9b-48c2-b7e7-c2e3b77679a2,Non,true,false,United States of America,us,526941187343344,New York Power Authority,Facebook
e77fc637-58a9-49ad-a597-dfd7ac9a677a,Jesus Christ Savior by Beliefnet,2022-10-01T12:36:14.411Z,937134dd-e6cd-4fac-a9fb-41c8b740059f,Non,true,false,United States of America,us,102771646440276,Jesus Christ Savior by Beliefnet,Facebook
e7884394-916a-4ddc-b8a6-ca931c4f6449,Bloomington MN City Government,2022-09-06T20:05:48.698Z,04316ec5-4fca-47de-a84c-ee46080b5695,Non,true,false,United States of America,us,68661688425,Bloomington MN City Government,Facebook
e795ab36-9a49-43da-a1e0-c431b75730bb,CSWD,2022-09-06T20:05:05.198Z,fdefeab1-ba18-4836-b285-8a5d2b004b29,Non,true,false,United States of America,us,341124138727,CSWD,Facebook
e7a66fb1-0bf5-4072-8ee4-a7bd539e5016,TheBody.com,2022-11-26T22:14:01.532Z,f0550ec3-ad13-4b1c-b5db-30eb098211b4,Non,true,false,United States of America,us,181421054126,TheBody.com,Facebook
e7abe916-834f-4b0b-8dd6-07fff0ec22d2,Missouri Nurses Association,2022-11-26T22:14:09.135Z,bb34cde1-3b5e-4fef-918f-e8dbb8cf8c80,Non,true,false,United States of America,us,44593012269,Missouri Nurses Association,Facebook
e7d4015e-1cf5-4582-a36a-d310973e813c,"Bucco, Rettino, Santos for Union County NJ Commissioner",2022-09-07T15:43:07.896Z,be63567b-68d2-4967-a6b9-696aa10ddaa1,Non,true,false,United States of America,us,106756325309633,"Bucco, Rettino, Santos for Union County NJ Commissioner",Facebook
e7de9b37-2604-4e80-8d72-b1662060bb3c,PFLAG Leonardtown,2022-10-01T12:36:29.867Z,44442d91-cd0b-48e8-bebd-3ded8bd6428f,Non,true,false,United States of America,us,1384324471636463,PFLAG Leonardtown,Facebook
e7e9ff1a-27f7-4d57-9b3d-5c32c16f59c0,MDOTNews,2022-11-26T22:13:57.219Z,fe4157ab-1b05-499b-9533-285fa6826db0,Non,true,false,United States of America,us,102251361828722,MDOTNews,Facebook
